가설,어떤 사실을 설명하거나 어떤 이론 체계를 연역하기 위하여 설정한 가정
각인되다,머릿속에 새겨 넣듯 깊이 기억됨
감안하다,여러 사정을 참고하여 생각하다
고찰하다,어떤 것을 깊이 생각하고 연구하다
논거,"어떤 이론이나 논리, 논설 따위의 근거"
논제,"논설이나 논문, 토론 따위의 주제나 제목"
반증,어떤 사실이나 주장이 옳지 아니함을 그에 반대되는 근거를 들어 증명함
비약적,논리나 사고방식 따위가 그 차례나 단계를 따르지 아니하고 뛰어넘는 것
이상,생각할 수 있는 범위 안에서 가장 완전하다고 여겨지는 상태
쟁점,서로 다투는 중심이 되는 점
정립하다,어떤 논점에 대하여 반론을 예상하고 주장하다
추리하다,알고 있는 것을 바탕으로 알지 못하는 것을 미루어서 생각하다
합리적,이론이나 이치에 합당한 것
